Method,Package,Start in line,End in line,Project Name,Version Project,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.7.0/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.7.0,1.7.0,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.7.0/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.7.0,1.7.0,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.7.1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.7.1,1.7.1,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.7.1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.7.1,1.7.1,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.8.0/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.8.0,1.8.0,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.8.0/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.8.0,1.8.0,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.8.0RC1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.8.0RC1,1.8.0RC1,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.8.0RC1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.8.0RC1,1.8.0RC1,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.8.1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.8.1,1.8.1,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.8.1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.8.1,1.8.1,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.8.2/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.8.2,1.8.2,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.8.2/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.8.2,1.8.2,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.8.3/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.8.3,1.8.3,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.8.3/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.8.3,1.8.3,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.8.4/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.8.4,1.8.4,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.8.4/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.8.4,1.8.4,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.9.0/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.9.0,1.9.0,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.9.0/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.9.0,1.9.0,
parsePaxHeaders,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/tar/TarInputStream.java,390,434,apache-ant-1.9.0,1.9.0,
getEntries,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/zip/ZipFile.java,266,276,apache-ant-1.9.0,1.9.0,
