Method,Package,Start in line,End in line,
onBind,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/core/video/VideoPlayerService.java,12,21,
getInterfaceDescriptor,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/core/video/VideoPlayerService.java,28,31,
VideoFileArrayAdapter,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoFileArrayAdapter.java,19,26,
getView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoFileArrayAdapter.java,28,41,
onCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,31,36,
configureActivity,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,38,41,
startPlayerService,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,43,48,
configureService,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,50,62,
onServiceDisconnected,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,55,57,
onServiceConnected,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,58,60,
configureUI,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,64,135,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,72,101,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,105,115,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,119,130,
onDestroy,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoSelectionActivity.java,137,147,
onCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoListActivity.java,27,37,
configureUI,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoListActivity.java,39,57,
onItemClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/videoplayer/view/video/VideoListActivity.java,48,54,
